ano,unidade,nome_unidade_norm,demanda_efetiva_prevista,demanda_cenario_persistencia,demanda_p025_condicional,demanda_p975_condicional,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_2025_proxy_capacidade,rede,capacity_concept,capacity_coverage,planning_gap,planning_gap_p025,planning_gap_p975,planning_gap_persistencia,gap_positivo
2026,0716821,EDI MEDALHISTA PARALIMPICO FELIPE DE SOUZA GOMES,339.77736474235377,280.5331124568692,200.387300375886,514.0460052262592,continuante,Pública,EDI,7.0,7.1,Taquara,-22.933395,-43.384692,75.0,publica,matriculas_2025_proxy,True,264.77736474235377,125.38730037588601,439.04600522625924,205.53311245686922,True
2026,07013,CP ESPACO DE EDUCACAO INFANTIL CIDADE DE DEUS,334.7262352233565,296.8000303655533,196.9466446483537,507.3020997883388,continuante,Parceira,Creche Parceira,7.0,7.14,CIDADE DE DEUS / JACAREPAGUÁ,-22.95235,-43.36266,194.0,parceira,matriculas_2025_proxy,True,140.72623522335653,2.946644648353697,313.3020997883388,102.80003036555331,True
2026,0817619,CM PROFESSORA REGINA MARIA DA MATTA MONTEZANO,331.2207698014489,261.34113474458826,197.61660189272456,498.4562287877595,continuante,Pública,Creche,8.0,8.18,Bangu,-22.868027,-43.474576,92.0,publica,matriculas_2025_proxy,True,239.2207698014489,105.61660189272456,406.4562287877595,169.34113474458826,True
2026,0716819,EDI PROFESSORA NORMA ANDRADE NOGUEIRA,319.52005951987906,230.56669576749707,188.74248879168093,482.9944081007683,continuante,Pública,EDI,7.0,7.18,Anil,-22.96226,-43.343769,96.0,publica,matriculas_2025_proxy,True,223.52005951987906,92.74248879168093,386.9944081007683,134.56669576749707,True
2026,0918807,EDI URBANO DE FREITAS,314.76847645299466,243.2987649799664,188.33170056717904,472.9267551329818,continuante,Pública,EDI,9.0,9.8,Campo Grande,-22.893198,-43.567798,116.0,publica,matriculas_2025_proxy,True,198.76847645299466,72.33170056717904,356.9267551329818,127.29876497996639,True
2026,0833601,CM CASA DE REALENGO,310.3082176373899,270.77968351178333,184.0079300322444,468.45712083371234,continuante,Pública,Creche,8.0,8.6,Realengo,-22.880628,-43.430644,92.0,publica,matriculas_2025_proxy,True,218.30821763738987,92.00793003224439,376.45712083371234,178.77968351178333,True
2026,0817808,EDI PROFESSOR ANTONIO FLAVIO PIERUCCI,305.8432636183354,236.41185819294395,180.82731329202988,462.3261677044183,continuante,Pública,EDI,8.0,8.12,Senador Camará,-22.879882,-43.490044,98.0,publica,matriculas_2025_proxy,True,207.8432636183354,82.82731329202988,364.3261677044183,138.41185819294395,True
2026,05010,CP ASSOCIACAO CENTRO EDUCACIONAL REBRAL VII,296.6482136102836,261.70094188986167,172.37443940543028,452.353391723034,continuante,Parceira,Creche Parceira,5.0,5.2,IRAJÁ,-22.82850531,-43.32955762,557.0,parceira,matriculas_2025_proxy,True,-260.3517863897164,-384.6255605945697,-104.64660827696599,-295.29905811013833,False
2026,05014,CP AEMMAC - MARECHAL HERMES,290.9087361262291,237.5833483604321,166.01514597594525,447.4228532115177,continuante,Parceira,Creche Parceira,5.0,5.14,MARECHAL HERMES,-22.86148952,-43.36831059,219.0,parceira,matriculas_2025_proxy,True,71.90873612622909,-52.984854024054755,228.4228532115177,18.583348360432097,True
2026,07044,CP CRECHE AMOR DE MAE,277.7556273025587,187.3955413087144,162.85741754395465,422.10247250924,continuante,Parceira,Creche Parceira,7.0,7.28,RECREIO DOS BANDEIRANTES,-23.02235,-43.48079,176.0,parceira,matriculas_2025_proxy,True,101.75562730255871,-13.142582456045346,246.10247250924,11.3955413087144,True
